air-pollution-score,price-percentile,avg-price,price-value
1,75,274669,102957.5
3,75,84375.224489796,86480
5,75,34754.1,39575
6,75,31287.733333333,34540
7,75,33838.666666667,41936.25
8,75,33400,33400
10,75,73195.625,89990
1,50,274669,60245
3,50,84375.224489796,46450
5,50,34754.1,30132.5
6,50,31287.733333333,25050
7,50,33838.666666667,28296.5
8,50,33400,33400
10,50,73195.625,64175
1,25,274669,28217.75
3,25,84375.224489796,31995
5,25,34754.1,23290
6,25,31287.733333333,24250
7,25,33838.666666667,23480
8,25,33400,33400
10,25,73195.625,43335
