greenhouse-gas-score,price-percentile,avg-price,price-value
1,75,498311.888888889,311900
2,75,121941.636363636,185462.5
3,75,81372.636363636,84830.5
4,75,49618.074074074,63750
5,75,36858.948717949,41215
6,75,26655.411764706,35103
7,75,36572.461538462,26040
8,75,23079,21750
9,75,75139.666666667,91459.5
10,75,64807.5,81205
1,50,498311.888888889,207326
2,50,121941.636363636,80400
3,50,81372.636363636,52300
4,50,49618.074074074,33800
5,50,36858.948717949,34600
6,50,26655.411764706,23390
7,50,36572.461538462,23600
8,50,23079,19150
9,50,75139.666666667,73169
10,50,64807.5,42347.5
1,25,498311.888888889,86480
2,25,121941.636363636,53227.5
3,25,81372.636363636,28029
4,25,49618.074074074,30980
5,25,36858.948717949,25510
6,25,26655.411764706,22470
7,25,36572.461538462,21977
8,25,23079,15850
9,25,75139.666666667,57834.5
10,25,64807.5,33836.25
